Ruleset,Race/Species,Domain,Level,Channel Divinity Uses,Cantrips,Prepared Spells,Divine Spark d8,Destroy Undead CR,Sear Undead,Blessed Strikes,Improved Blessed Strikes,Divine Intervention,Level 20 Capstone,Warnings,Result
dnd_2014,Human,Life Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Life Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Life Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,Knowledge Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Knowledge Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Knowledge Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,Light Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Light Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Light Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,Nature Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Nature Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Nature Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,Tempest Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Tempest Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Tempest Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,Trickery Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Trickery Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,Trickery Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,War Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,War Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,14,2,5,14+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,15,2,5,15+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,16,2,5,16+WIS mod,,3,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,17,2,5,17+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,18,3,5,18+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,19,3,5,19+WIS mod,,4,False,False,False,True,,,PASS
dnd_2014,Human,War Domain,20,3,5,20+WIS mod,,4,False,False,False,True,Improved,,PASS
dnd_2014,Human,Death Domain,1,0,3,1+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,2,1,3,2+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,3,1,3,3+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,4,1,4,4+WIS mod,,,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,5,1,4,5+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,6,2,4,6+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,7,2,4,7+WIS mod,,0.5,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,8,2,4,8+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,9,2,4,9+WIS mod,,1,False,False,False,False,,,PASS
dnd_2014,Human,Death Domain,10,2,5,10+WIS mod,,1,False,False,False,True,,,PASS
dnd_2014,Human,Death Domain,11,2,5,11+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Death Domain,12,2,5,12+WIS mod,,2,False,False,False,True,,,PASS
dnd_2014,Human,Death Domain,13,2,5,13+WIS mod,,2,False,False,False,True,,,PASS
