Ruleset,Race/Species,Subclass,Level,Sneak Attack,Expertise,Weapon Mastery,Cunning Action,Steady Aim,Cunning Strike,Cunning Strike Options,Reliable Talent,Uncanny Dodge,Evasion,Blindsense,Slippery Mind,Elusive,Stroke of Luck,Unlocked Subclass Features,Warnings,Result
dnd_2014,Human,Thief,1,1d6,2,0,False,False,False,,False,False,False,0,,False,False,,,PASS
dnd_2014,Human,Thief,2,1d6,2,0,True,False,False,,False,False,False,0,,False,False,,,PASS
dnd_2014,Human,Thief,3,2d6,2,0,True,False,False,,False,False,False,0,,False,False,"Fast Hands, Second-Story Work",,PASS
dnd_2014,Human,Thief,4,2d6,2,0,True,False,False,,False,False,False,0,,False,False,"Fast Hands, Second-Story Work",,PASS
dnd_2014,Human,Thief,5,3d6,2,0,True,False,False,,False,True,False,0,,False,False,"Fast Hands, Second-Story Work",,PASS
dnd_2014,Human,Thief,6,3d6,4,0,True,False,False,,False,True,False,0,,False,False,"Fast Hands, Second-Story Work",,PASS
dnd_2014,Human,Thief,7,4d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work",,PASS
dnd_2014,Human,Thief,8,4d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work",,PASS
dnd_2014,Human,Thief,9,5d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",,PASS
dnd_2014,Human,Thief,10,5d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",,PASS
dnd_2014,Human,Thief,11,6d6,4,0,True,False,False,,True,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",,PASS
dnd_2014,Human,Thief,12,6d6,4,0,True,False,False,,True,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",,PASS
dnd_2014,Human,Thief,13,7d6,4,0,True,False,False,,True,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",,PASS
dnd_2014,Human,Thief,14,7d6,4,0,True,False,False,,True,True,True,10,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",,PASS
dnd_2014,Human,Thief,15,8d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",,PASS
dnd_2014,Human,Thief,16,8d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",,PASS
dnd_2014,Human,Thief,17,9d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",,PASS
dnd_2014,Human,Thief,18,9d6,4,0,True,False,False,,True,True,True,10,WIS,True,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",,PASS
dnd_2014,Human,Thief,19,10d6,4,0,True,False,False,,True,True,True,10,WIS,True,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",,PASS
dnd_2014,Human,Thief,20,10d6,4,0,True,False,False,,True,True,True,10,WIS,True,True,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",,PASS
dnd_2014,Human,Assassin,1,1d6,2,0,False,False,False,,False,False,False,0,,False,False,,,PASS
dnd_2014,Human,Assassin,2,1d6,2,0,True,False,False,,False,False,False,0,,False,False,,,PASS
dnd_2014,Human,Assassin,3,2d6,2,0,True,False,False,,False,False,False,0,,False,False,"Bonus Proficiencies, Assassinate",,PASS
dnd_2014,Human,Assassin,4,2d6,2,0,True,False,False,,False,False,False,0,,False,False,"Bonus Proficiencies, Assassinate",,PASS
dnd_2014,Human,Assassin,5,3d6,2,0,True,False,False,,False,True,False,0,,False,False,"Bonus Proficiencies, Assassinate",,PASS
dnd_2014,Human,Assassin,6,3d6,4,0,True,False,False,,False,True,False,0,,False,False,"Bonus Proficiencies, Assassinate",,PASS
dnd_2014,Human,Assassin,7,4d6,4,0,True,False,False,,False,True,True,0,,False,False,"Bonus Proficiencies, Assassinate",,PASS
dnd_2014,Human,Assassin,8,4d6,4,0,True,False,False,,False,True,True,0,,False,False,"Bonus Proficiencies, Assassinate",,PASS
dnd_2014,Human,Assassin,9,5d6,4,0,True,False,False,,False,True,True,0,,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise",,PASS
dnd_2014,Human,Assassin,10,5d6,4,0,True,False,False,,False,True,True,0,,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise",,PASS
dnd_2014,Human,Assassin,11,6d6,4,0,True,False,False,,True,True,True,0,,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise",,PASS
dnd_2014,Human,Assassin,12,6d6,4,0,True,False,False,,True,True,True,0,,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise",,PASS
dnd_2014,Human,Assassin,13,7d6,4,0,True,False,False,,True,True,True,0,,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor",,PASS
dnd_2014,Human,Assassin,14,7d6,4,0,True,False,False,,True,True,True,10,,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor",,PASS
dnd_2014,Human,Assassin,15,8d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor",,PASS
dnd_2014,Human,Assassin,16,8d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor",,PASS
dnd_2014,Human,Assassin,17,9d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor, Death Strike",,PASS
dnd_2014,Human,Assassin,18,9d6,4,0,True,False,False,,True,True,True,10,WIS,True,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor, Death Strike",,PASS
dnd_2014,Human,Assassin,19,10d6,4,0,True,False,False,,True,True,True,10,WIS,True,False,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor, Death Strike",,PASS
dnd_2014,Human,Assassin,20,10d6,4,0,True,False,False,,True,True,True,10,WIS,True,True,"Bonus Proficiencies, Assassinate, Infiltration Expertise, Impostor, Death Strike",,PASS
dnd_2014,Dwarf,Thief,1,1d6,2,0,False,False,False,,False,False,False,0,,False,False,,Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,2,1d6,2,0,True,False,False,,False,False,False,0,,False,False,,Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,3,2d6,2,0,True,False,False,,False,False,False,0,,False,False,"Fast Hands, Second-Story Work",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,4,2d6,2,0,True,False,False,,False,False,False,0,,False,False,"Fast Hands, Second-Story Work",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,5,3d6,2,0,True,False,False,,False,True,False,0,,False,False,"Fast Hands, Second-Story Work",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,6,3d6,4,0,True,False,False,,False,True,False,0,,False,False,"Fast Hands, Second-Story Work",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,7,4d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,8,4d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,9,5d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,10,5d6,4,0,True,False,False,,False,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,11,6d6,4,0,True,False,False,,True,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,12,6d6,4,0,True,False,False,,True,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,13,7d6,4,0,True,False,False,,True,True,True,0,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,14,7d6,4,0,True,False,False,,True,True,True,10,,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,15,8d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,16,8d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,17,9d6,4,0,True,False,False,,True,True,True,10,WIS,False,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,18,9d6,4,0,True,False,False,,True,True,True,10,WIS,True,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,19,10d6,4,0,True,False,False,,True,True,True,10,WIS,True,False,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Thief,20,10d6,4,0,True,False,False,,True,True,True,10,WIS,True,True,"Fast Hands, Second-Story Work, Supreme Sneak, Use Magic Device, Thief's Reflexes",Subrace seçimi zorunlu tutulmalı,PASS
dnd_2014,Dwarf,Assassin,1,1d6,2,0,False,False,False,,False,False,False,0,,False,False,,Subrace seçimi zorunlu tutulmalı,PASS
