Ruleset,Race/Species,Subclass,Level,Pact Slot Level,Pact Slots,Cantrips,Known Spells,Prepared Spells,Invocations,Mystic Arcanum,Magical Cunning Recovery,Status
2014,Human,The Fiend,1,1,1,2,2,0,0,,0,READY
2014,Human,The Fiend,2,1,2,2,3,0,2,,0,READY
2014,Human,The Fiend,3,2,2,2,4,0,2,,0,READY
2014,Human,The Fiend,4,2,2,3,5,0,2,,0,READY
2014,Human,The Fiend,5,3,2,3,6,0,3,,0,READY
2014,Human,The Fiend,6,3,2,3,7,0,3,,0,READY
2014,Human,The Fiend,7,4,2,3,8,0,4,,0,READY
2014,Human,The Fiend,8,4,2,3,9,0,4,,0,READY
2014,Human,The Fiend,9,5,2,3,10,0,5,,0,READY
2014,Human,The Fiend,10,5,2,4,10,0,5,,0,READY
2014,Human,The Fiend,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Fiend,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Fiend,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Fiend,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Fiend,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Fiend,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Fiend,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Fiend,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Fiend,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Fiend,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Archfey,1,1,1,2,2,0,0,,0,READY
2014,Human,The Archfey,2,1,2,2,3,0,2,,0,READY
2014,Human,The Archfey,3,2,2,2,4,0,2,,0,READY
2014,Human,The Archfey,4,2,2,3,5,0,2,,0,READY
2014,Human,The Archfey,5,3,2,3,6,0,3,,0,READY
2014,Human,The Archfey,6,3,2,3,7,0,3,,0,READY
2014,Human,The Archfey,7,4,2,3,8,0,4,,0,READY
2014,Human,The Archfey,8,4,2,3,9,0,4,,0,READY
2014,Human,The Archfey,9,5,2,3,10,0,5,,0,READY
2014,Human,The Archfey,10,5,2,4,10,0,5,,0,READY
2014,Human,The Archfey,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Archfey,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Archfey,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Archfey,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Archfey,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Archfey,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Archfey,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Archfey,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Archfey,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Archfey,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Celestial,1,1,1,2,2,0,0,,0,READY
2014,Human,The Celestial,2,1,2,2,3,0,2,,0,READY
2014,Human,The Celestial,3,2,2,2,4,0,2,,0,READY
2014,Human,The Celestial,4,2,2,3,5,0,2,,0,READY
2014,Human,The Celestial,5,3,2,3,6,0,3,,0,READY
2014,Human,The Celestial,6,3,2,3,7,0,3,,0,READY
2014,Human,The Celestial,7,4,2,3,8,0,4,,0,READY
2014,Human,The Celestial,8,4,2,3,9,0,4,,0,READY
2014,Human,The Celestial,9,5,2,3,10,0,5,,0,READY
2014,Human,The Celestial,10,5,2,4,10,0,5,,0,READY
2014,Human,The Celestial,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Celestial,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Celestial,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Celestial,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Celestial,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Celestial,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Celestial,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Celestial,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Celestial,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Celestial,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Fathomless,1,1,1,2,2,0,0,,0,READY
2014,Human,The Fathomless,2,1,2,2,3,0,2,,0,READY
2014,Human,The Fathomless,3,2,2,2,4,0,2,,0,READY
2014,Human,The Fathomless,4,2,2,3,5,0,2,,0,READY
2014,Human,The Fathomless,5,3,2,3,6,0,3,,0,READY
2014,Human,The Fathomless,6,3,2,3,7,0,3,,0,READY
2014,Human,The Fathomless,7,4,2,3,8,0,4,,0,READY
2014,Human,The Fathomless,8,4,2,3,9,0,4,,0,READY
2014,Human,The Fathomless,9,5,2,3,10,0,5,,0,READY
2014,Human,The Fathomless,10,5,2,4,10,0,5,,0,READY
2014,Human,The Fathomless,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Fathomless,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Fathomless,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Fathomless,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Fathomless,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Fathomless,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Fathomless,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Fathomless,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Fathomless,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Fathomless,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Genie,1,1,1,2,2,0,0,,0,READY
2014,Human,The Genie,2,1,2,2,3,0,2,,0,READY
2014,Human,The Genie,3,2,2,2,4,0,2,,0,READY
2014,Human,The Genie,4,2,2,3,5,0,2,,0,READY
2014,Human,The Genie,5,3,2,3,6,0,3,,0,READY
2014,Human,The Genie,6,3,2,3,7,0,3,,0,READY
2014,Human,The Genie,7,4,2,3,8,0,4,,0,READY
2014,Human,The Genie,8,4,2,3,9,0,4,,0,READY
2014,Human,The Genie,9,5,2,3,10,0,5,,0,READY
2014,Human,The Genie,10,5,2,4,10,0,5,,0,READY
2014,Human,The Genie,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Genie,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Genie,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Genie,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Genie,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Genie,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Genie,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Genie,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Genie,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Genie,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Great Old One,1,1,1,2,2,0,0,,0,READY
2014,Human,The Great Old One,2,1,2,2,3,0,2,,0,READY
2014,Human,The Great Old One,3,2,2,2,4,0,2,,0,READY
2014,Human,The Great Old One,4,2,2,3,5,0,2,,0,READY
2014,Human,The Great Old One,5,3,2,3,6,0,3,,0,READY
2014,Human,The Great Old One,6,3,2,3,7,0,3,,0,READY
2014,Human,The Great Old One,7,4,2,3,8,0,4,,0,READY
2014,Human,The Great Old One,8,4,2,3,9,0,4,,0,READY
2014,Human,The Great Old One,9,5,2,3,10,0,5,,0,READY
2014,Human,The Great Old One,10,5,2,4,10,0,5,,0,READY
