ruleset,race_or_species,subclass,level,ready,cantrips,prepared_spells_int_mod_3,spellbook_minimum,arcane_recovery_budget,max_spell_level
dnd_2014,Human,School of Evocation,1,true,3,4,6,1,1
dnd_2014,Human,School of Evocation,2,true,3,5,8,1,1
dnd_2014,Human,School of Evocation,3,true,3,6,10,2,2
dnd_2014,Human,School of Evocation,4,true,4,7,12,2,2
dnd_2014,Human,School of Evocation,5,true,4,8,14,3,3
dnd_2014,Human,School of Evocation,6,true,4,9,16,3,3
dnd_2014,Human,School of Evocation,7,true,4,10,18,4,4
dnd_2014,Human,School of Evocation,8,true,4,11,20,4,4
dnd_2014,Human,School of Evocation,9,true,4,12,22,5,5
dnd_2014,Human,School of Evocation,10,true,5,13,24,5,5
dnd_2014,Human,School of Evocation,11,true,5,14,26,6,6
dnd_2014,Human,School of Evocation,12,true,5,15,28,6,6
dnd_2014,Human,School of Evocation,13,true,5,16,30,7,7
dnd_2014,Human,School of Evocation,14,true,5,17,32,7,7
dnd_2014,Human,School of Evocation,15,true,5,18,34,8,8
dnd_2014,Human,School of Evocation,16,true,5,19,36,8,8
dnd_2014,Human,School of Evocation,17,true,5,20,38,9,9
dnd_2014,Human,School of Evocation,18,true,5,21,40,9,9
dnd_2014,Human,School of Evocation,19,true,5,22,42,10,9
dnd_2014,Human,School of Evocation,20,true,5,23,44,10,9
dnd_2014,Human,School of Abjuration,1,true,3,4,6,1,1
dnd_2014,Human,School of Abjuration,2,true,3,5,8,1,1
dnd_2014,Human,School of Abjuration,3,true,3,6,10,2,2
dnd_2014,Human,School of Abjuration,4,true,4,7,12,2,2
dnd_2014,Human,School of Abjuration,5,true,4,8,14,3,3
dnd_2014,Human,School of Abjuration,6,true,4,9,16,3,3
dnd_2014,Human,School of Abjuration,7,true,4,10,18,4,4
dnd_2014,Human,School of Abjuration,8,true,4,11,20,4,4
dnd_2014,Human,School of Abjuration,9,true,4,12,22,5,5
dnd_2014,Human,School of Abjuration,10,true,5,13,24,5,5
dnd_2014,Human,School of Abjuration,11,true,5,14,26,6,6
dnd_2014,Human,School of Abjuration,12,true,5,15,28,6,6
dnd_2014,Human,School of Abjuration,13,true,5,16,30,7,7
dnd_2014,Human,School of Abjuration,14,true,5,17,32,7,7
dnd_2014,Human,School of Abjuration,15,true,5,18,34,8,8
dnd_2014,Human,School of Abjuration,16,true,5,19,36,8,8
dnd_2014,Human,School of Abjuration,17,true,5,20,38,9,9
dnd_2014,Human,School of Abjuration,18,true,5,21,40,9,9
dnd_2014,Human,School of Abjuration,19,true,5,22,42,10,9
dnd_2014,Human,School of Abjuration,20,true,5,23,44,10,9
dnd_2014,Human,School of Conjuration,1,true,3,4,6,1,1
dnd_2014,Human,School of Conjuration,2,true,3,5,8,1,1
dnd_2014,Human,School of Conjuration,3,true,3,6,10,2,2
dnd_2014,Human,School of Conjuration,4,true,4,7,12,2,2
dnd_2014,Human,School of Conjuration,5,true,4,8,14,3,3
dnd_2014,Human,School of Conjuration,6,true,4,9,16,3,3
dnd_2014,Human,School of Conjuration,7,true,4,10,18,4,4
dnd_2014,Human,School of Conjuration,8,true,4,11,20,4,4
dnd_2014,Human,School of Conjuration,9,true,4,12,22,5,5
dnd_2014,Human,School of Conjuration,10,true,5,13,24,5,5
dnd_2014,Human,School of Conjuration,11,true,5,14,26,6,6
dnd_2014,Human,School of Conjuration,12,true,5,15,28,6,6
dnd_2014,Human,School of Conjuration,13,true,5,16,30,7,7
dnd_2014,Human,School of Conjuration,14,true,5,17,32,7,7
dnd_2014,Human,School of Conjuration,15,true,5,18,34,8,8
dnd_2014,Human,School of Conjuration,16,true,5,19,36,8,8
dnd_2014,Human,School of Conjuration,17,true,5,20,38,9,9
dnd_2014,Human,School of Conjuration,18,true,5,21,40,9,9
dnd_2014,Human,School of Conjuration,19,true,5,22,42,10,9
dnd_2014,Human,School of Conjuration,20,true,5,23,44,10,9
dnd_2014,Human,School of Divination,1,true,3,4,6,1,1
dnd_2014,Human,School of Divination,2,true,3,5,8,1,1
dnd_2014,Human,School of Divination,3,true,3,6,10,2,2
dnd_2014,Human,School of Divination,4,true,4,7,12,2,2
dnd_2014,Human,School of Divination,5,true,4,8,14,3,3
dnd_2014,Human,School of Divination,6,true,4,9,16,3,3
dnd_2014,Human,School of Divination,7,true,4,10,18,4,4
dnd_2014,Human,School of Divination,8,true,4,11,20,4,4
dnd_2014,Human,School of Divination,9,true,4,12,22,5,5
dnd_2014,Human,School of Divination,10,true,5,13,24,5,5
dnd_2014,Human,School of Divination,11,true,5,14,26,6,6
dnd_2014,Human,School of Divination,12,true,5,15,28,6,6
dnd_2014,Human,School of Divination,13,true,5,16,30,7,7
dnd_2014,Human,School of Divination,14,true,5,17,32,7,7
dnd_2014,Human,School of Divination,15,true,5,18,34,8,8
dnd_2014,Human,School of Divination,16,true,5,19,36,8,8
dnd_2014,Human,School of Divination,17,true,5,20,38,9,9
dnd_2014,Human,School of Divination,18,true,5,21,40,9,9
dnd_2014,Human,School of Divination,19,true,5,22,42,10,9
dnd_2014,Human,School of Divination,20,true,5,23,44,10,9
dnd_2014,Human,School of Enchantment,1,true,3,4,6,1,1
dnd_2014,Human,School of Enchantment,2,true,3,5,8,1,1
dnd_2014,Human,School of Enchantment,3,true,3,6,10,2,2
dnd_2014,Human,School of Enchantment,4,true,4,7,12,2,2
dnd_2014,Human,School of Enchantment,5,true,4,8,14,3,3
dnd_2014,Human,School of Enchantment,6,true,4,9,16,3,3
dnd_2014,Human,School of Enchantment,7,true,4,10,18,4,4
dnd_2014,Human,School of Enchantment,8,true,4,11,20,4,4
dnd_2014,Human,School of Enchantment,9,true,4,12,22,5,5
dnd_2014,Human,School of Enchantment,10,true,5,13,24,5,5
dnd_2014,Human,School of Enchantment,11,true,5,14,26,6,6
dnd_2014,Human,School of Enchantment,12,true,5,15,28,6,6
dnd_2014,Human,School of Enchantment,13,true,5,16,30,7,7
dnd_2014,Human,School of Enchantment,14,true,5,17,32,7,7
dnd_2014,Human,School of Enchantment,15,true,5,18,34,8,8
