domain,id,name,edition,kind,className,data,runtime,ui,tests,mode,score,status,source
"class","barbarian","Barbarian","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","bard","Bard","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","cleric","Cleric","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","druid","Druid","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","fighter","Fighter","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","monk","Monk","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","paladin","Paladin","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","ranger","Ranger","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","rogue","Rogue","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","sorcerer","Sorcerer","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","warlock","Warlock","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"class","wizard","Wizard","mixed","","","true","true","true","true","automatic","100","READY","classFeatureEngine.ts"
"subclass","circle-of-dreams","Circle of Dreams","dnd_2014","","Druid","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","way-of-the-kensei","Way of the Kensei","dnd_2014","","Monk","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","oath-of-vengeance","Oath of Vengeance","dnd_2014","","Paladin","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","gloom-stalker","Gloom Stalker","dnd_2014","","Ranger","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","swashbuckler","Swashbuckler","dnd_2014","","Rogue","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","path-of-the-totem-warrior","Path of the Totem Warrior","dnd_2014","","Barbarian","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-valor","College of Valor","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-glamour","College of Glamour","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-swords","College of Swords","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-whispers","College of Whispers","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-eloquence","College of Eloquence","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-creation","College of Creation","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-spirits","College of Spirits","dnd_2014","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","circle-of-the-moon","Circle of the Moon","dnd_2014","","Druid","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","battle-master","Battle Master","dnd_2014","","Fighter","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","way-of-shadow","Way of Shadow","dnd_2014","","Monk","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","oath-of-the-ancients","Oath of the Ancients","dnd_2014","","Paladin","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","beast-master","Beast Master","dnd_2014","","Ranger","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","assassin","Assassin","dnd_2014","","Rogue","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","arcane-trickster","Arcane Trickster","dnd_2014","","Rogue","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","eldritch-knight","Eldritch Knight","dnd_2014","","Fighter","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","wild-magic","Wild Magic","dnd_2014","","Sorcerer","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","storm-sorcery","Storm Sorcery","dnd_2014","","Sorcerer","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","divine-soul","Divine Soul","dnd_2014","","Sorcerer","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","shadow-magic","Shadow Magic","dnd_2014","","Sorcerer","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","aberrant-mind","Aberrant Mind","dnd_2014","","Sorcerer","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","clockwork-soul","Clockwork Soul","dnd_2014","","Sorcerer","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","lunar-sorcery","Lunar Sorcery","dnd_2014","","Sorcerer","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","the-archfey","The Archfey","dnd_2014","","Warlock","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","the-celestial","The Celestial","dnd_2014","","Warlock","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","the-fathomless","The Fathomless","dnd_2014","","Warlock","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","the-genie","The Genie","dnd_2014","","Warlock","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","the-hexblade","The Hexblade","dnd_2014","","Warlock","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","the-undead","The Undead","dnd_2014","","Warlock","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","the-undying","The Undying","dnd_2014","","Warlock","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","great-old-one","The Great Old One","dnd_2014","","Warlock","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","school-of-abjuration","School of Abjuration","dnd_2014","","Wizard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","school-of-conjuration","School of Conjuration","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","school-of-divination","School of Divination","dnd_2014","","Wizard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","school-of-enchantment","School of Enchantment","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","school-of-illusion","School of Illusion","dnd_2014","","Wizard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","school-of-necromancy","School of Necromancy","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","school-of-transmutation","School of Transmutation","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","bladesinging","Bladesinging","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","war-magic","War Magic","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","order-of-scribes","Order of Scribes","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","chronurgy-magic","Chronurgy Magic","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","graviturgy-magic","Graviturgy Magic","dnd_2014","","Wizard","true","true","true","false","partial","80","PARTIAL","subclassExpansion.ts"
"subclass","circle-of-stars-2024","Circle of the Stars","dnd_2024","","Druid","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","wild-heart-2024","Path of the Wild Heart","dnd_2024","","Barbarian","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","zealot-2024","Path of the Zealot","dnd_2024","","Barbarian","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","psi-warrior-2024","Psi Warrior","dnd_2024","","Fighter","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","warrior-of-mercy-2024","Warrior of Mercy","dnd_2024","","Monk","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","arcane-trickster-2024","Arcane Trickster","dnd_2024","","Rogue","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-dance-2024","College of Dance","dnd_2024","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","circle-of-the-sea-2024","Circle of the Sea","dnd_2024","","Druid","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","eldritch-knight-2024","Eldritch Knight","dnd_2024","","Fighter","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","warrior-of-the-elements-2024","Warrior of the Elements","dnd_2024","","Monk","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","oath-of-glory-2024","Oath of Glory","dnd_2024","","Paladin","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","fey-wanderer-2024","Fey Wanderer","dnd_2024","","Ranger","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","soulknife-2024","Soulknife","dnd_2024","","Rogue","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","light-domain-2024","Light Domain","dnd_2024","","Cleric","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","trickery-domain-2024","Trickery Domain","dnd_2024","","Cleric","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","war-domain-2024","War Domain","dnd_2024","","Cleric","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","world-tree-2024","Path of the World Tree","dnd_2024","","Barbarian","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","college-of-glamour-2024","College of Glamour","dnd_2024","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","valor-2024","College of Valor","dnd_2024","","Bard","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","moon-2024","Circle of the Moon","dnd_2024","","Druid","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","battle-master-2024","Battle Master","dnd_2024","","Fighter","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","shadow-monk-2024","Warrior of Shadow","dnd_2024","","Monk","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","ancients-2024","Oath of the Ancients","dnd_2024","","Paladin","true","true","true","true","partial","100","READY","subclassExpansion.ts"
"subclass","beast-master-2024","Beast Master","dnd_2024","","Ranger","true","true","true","true","partial","100","READY","subclassExpansion.ts"
